Rank,Name,City,State,Endowment_millions,Academic staff,Students,Undergraduates,Postgraduates,2014 research spending (thousands)
108,Iowa State University,Ames,IA,777.018,1845,36001,30034,5096,313263
108,University of Oklahoma,Norman,OK,1523.0,2937,30824,22152,6138,1362
108,University of South Carolina,Columbia,SC,62.5186,1604,33575,0,0,0
115,Duquesne University,Pittsburgh,PA,260.6,0,10364,5858,4505,15025
115,University of Kansas,Lawrence,KS,1800.0,2663,28091,0,0,301534
115,University of Utah,Salt Lake City,UT,1022.9999999999999,2687,31673,23909,7764,486140
115,Clarkson University,Potsdam,NY,186.14,309,4300,0,0,13750
115,Temple University,Philadelphia,PA,386.2,1599,37788,28408,9380,224101
115,University of St. Thomas,St. Paul,MN,458.0,879,10229,6234,3995,916
121,University of California#Riverside,Riverside,CA,185.3,1638,21539,18608,2931,133558
121,University of Arizona,Tucson,AZ,673.3,3049,40621,31670,7443,588088
123,DePaul University,Chicago,IL,447.0,919,0,15961,7578,6415
123,Seton Hall University,South Orange,NJ,260.8,0,0,5800,4500,6675
123,The Catholic University of America,Washington,DC,301.0,694,6725,3713,3012,22331
123,Michigan Technological University,Houghton,MI,92.9,485,7034,5639,1318,68526
127,New School,New York,NY,300.0,2230,10186,6836,3138,7160
127,Colorado State University,Fort Collins,CO,284.4,1468,32236,25622,7458,0
129,Louisiana State University#Baton Rouge,Baton Rouge,LA,692.0,1500,31527,26159,5368,290076
129,University of Arkansas,Fayetteville,AR,920.6,1058,26754,22283,4018,0
129,University of Kentucky,Lexington,KY,1143.0,0,29385,21441,6994,328239
129,Arizona State University#Tempe,Tempe,AZ,643.2,3095,50246,67507,15794,426651
129,University at Albany#SUNY,Albany,NY,49.0,940,17500,12950,4650,130955
129,University of Illinois#Chicago,Chicago,IL,2278.0,2637,29048,17575,11473,347888
135,George Mason University,Fairfax,VA,70.2,2893,33917,21324,11873,98680
135,Howard University,Washington,DC,659.6,0,10300,0,0,40771
135,Oregon State University,Corvallis,OR,505.4,0,30058,25648,4410,91203
135,Hofstra University,Hempstead,NY,411.7,3361,10870,6833,4037,3102
135,Ohio University,Athens,OH,550.0,2187,39861,23000,3645,60800
140,Rutgers#The State University of New Jersey#Newark,Newark,NJ,603.0,528,11314,7408,3906,28083
140,University of Mississippi,University,MS,593.921946,871,23838,0,0,0
140,Washington State University,Pullman,WA,868.1,2261,29686,24470,4269,326414
140,New Jersey Institute of Technology,Newark,NJ,99.3,541,11325,8008,3317,106081
140,University of Cincinnati,Cincinnati,OH,1200.0,5928,44251,31983,10673,422873
146,Missouri University of Science & Technology,Rolla,MO,136.0,492,8642,6522,2120,39065
146,Kansas State University,Manhattan,KS,488.9,1404,24146,0,0,184945
146,St. John Fisher College,Rochester,NY,0,0,0,2700,1000,1353
149,Illinois State University,Normal,IL,87.2,0,20788,18423,2365,19159
149,San Diego State University,San Diego,CA,209.4,1491,34254,29234,5020,5146
149,Oklahoma State University,Stillwater,OK,90.4893,0,23459,0,0,126543
149,University of Alabama#Birmingham,Birmingham,AL,424.5,2044,18568,11502,7066,428563
153,Adelphi University,Garden City,NY,175.0,1013,7859,5103,2756,0
153,St. John's University,Queens,NY,644.6,1456,0,15720,5634,2507
153,Southern Illinois University#Carbondale,Carbondale,IL,121.047983,0,17292,13031,4261,65256
156,University of Massachusetts#Lowell,Lowell,MA,82.4,1043,17500,0,0,64591
156,Virginia Commonwealth University,Richmond,VA,1638.0,3279,31242,24051,7191,201858
156,University of Maryland#Baltimore County,Baltimore,MD,75.0,825,13839,11243,2596,4990
156,University of South Florida,Tampa,FL,418.0,6133,48793,36108,9889,708526
160,University of La Verne,La Verne,CA,56.4,0,0,0,0,0
161,Florida Institute of Technology,Melbourne,FL,66.2,557,6393,3636,2757,14255
161,Maryville University of St. Louis,St Louis,MO,46.0,300,6400,2795,3619,0
161,University of Hawaii#Manoa,Honolulu,HI,280.2,0,20435,13952,6483,324342
161,Biola University,La Mirada,CA,105.4,475,0,4011,1308,0
161,Immaculata University,Immaculata,PA,0,100,0,2000,1100,0
161,Mississippi State University,Mississippi State,MS,456.609736,1359,20873,0,0,209729
161,University of Rhode Island,Kingston,RI,131.7,0,16795,13589,2900,91706
168,Ball State University,Muncie,IN,19.210958,949,21053,16652,4401,9209
168,University of Central Florida,Orlando,FL,155.5,1961,60821,52539,8282,185555
168,University of Louisville,Louisville,KY,876.82,2316,22298,16151,6400,183376
168,University of Wyoming,Laramie,WY,455.1,1151,13992,0,0,51422
168,University of Idaho,Moscow,ID,241.0,0,11534,9330,1850,95594
168,University of Maine,Orono,ME,285.0,720,10922,9297,1625,101247
175,Azusa Pacific University,Azusa,CA,0,1004,10755,6543,4212,2122
175,Kent State University,Kent,OH,109.1,2623,30067,23607,6460,25666
175,Andrews University,Berrien Springs,MI,26.3,298,3420,1760,0,0
175,Edgewood College,Madison,WI,0,150,0,2000,500,0
175,West Virginia University,Morgantown,WV,515.0,1870,29175,22563,5001,164454
180,Pace University,New York,NY,156.7,1238,12772,8928,4471,4373
180,University of New Mexico,Albuquerque,NM,403.7,0,27353,19886,7467,228849
180,University of South Dakota,Vermillion,SD,206.98,423,10284,7690,2594,30700
180,St. Mary's University of Minnesota,Winona,MN,53.0,96,5900,1171,0,0
180,University of North Dakota,Grand Forks,ND,230.5,823,14906,11537,2866,67595
185,Bowling Green State University,Bowling Green,OH,118.7,1982,17706,14807,2899,8861
185,North Dakota State University,Fargo,ND,138.0,893,14516,0,0,1446
187,South Dakota State University,Brookings,SD,96.9,671,12559,10840,0,1446
187,University of Houston,Houston,TX,716.4,4038,42704,34830,7874,140597
187,University of North Carolina#Greensboro,Greensboro,NC,251.8,952,16126,13608,2518,20723
187,Widener University,Chester,PA,73.0,326,6464,3204,3260,0
187,University of Alabama#Huntsville,Huntsville,AL,70.0,479,7866,6013,1853,89325
187,University of Nevada#Reno,Reno,NV,306.6,1528,20898,17295,2851,87324
187,Western Michigan University,Kalamazoo,MI,320.0,925,23914,18889,5025,0
194,East Carolina University,Greenville,NC,17.0701,2004,28289,23039,4731,29925
194,University of Missouri#Kansas City,Kansas City,MO,852.3,3243,35448,27812,6442,29164
194,Central Michigan University,Mount Pleasant,MI,108.0,1017,28389,21698,6613,15015
194,South Carolina State University,Orangeburg,SC,0,0,0,2937,0,0
194,University of North Carolina#Charlotte,Charlotte,NC,152.7,1456,28062,22924,0,23342
199,Ashland University,Ashland,OH,0,200,6000,0,0,0
199,Louisiana Tech University,Ruston,LA,92.0,0,12414,10696,1718,22942
199,University of Colorado#Denver,Denver,CO,593.0,4023,18000,0,0,18183
199,Indiana University-Purdue University#Indianapolis,Indianapolis,IN,601.0,2152,30690,22525,8165,324261
199,New Mexico State University,Las Cruces,NM,221.0,1219,18497,14698,3799,134262
